Timestamp,Energy_kwh
2024-10-01 00:00:00,54.92970698306769
2024-10-01 01:00:00,80.1001363834459
2024-10-01 02:00:00,74.78613626806025
2024-10-01 03:00:00,50.39467504469659
2024-10-01 04:00:00,56.83498295591076
2024-10-01 05:00:00,81.66819769773711
2024-10-01 06:00:00,76.50847256161373
2024-10-01 07:00:00,78.02151195264886
2024-10-01 08:00:00,116.36063348778092
2024-10-01 09:00:00,134.23474020031443
2024-10-01 10:00:00,133.31663153651542
2024-10-01 11:00:00,135.0935834004338
2024-10-01 12:00:00,142.19911698913594
2024-10-01 13:00:00,141.37206487617465
2024-10-01 14:00:00,155.751372878171
2024-10-01 15:00:00,146.75665098442298
2024-10-01 16:00:00,140.39273977354486
2024-10-01 17:00:00,143.88231433543976
2024-10-01 18:00:00,119.83732494894178
2024-10-01 19:00:00,117.48137633399459
2024-10-01 20:00:00,90.13527836482263
2024-10-01 21:00:00,89.07024900479516
2024-10-01 22:00:00,88.72148855857503
2024-10-01 23:00:00,83.8805929904315
2024-10-02 00:00:00,60.24167340418143
2024-10-02 01:00:00,66.53491618804611
2024-10-02 02:00:00,45.036759691451124
2024-10-02 03:00:00,59.409281806010696
2024-10-02 04:00:00,76.96008240138079
2024-10-02 05:00:00,77.40472961295188
2024-10-02 06:00:00,83.58088660624159
2024-10-02 07:00:00,102.25441698504889
2024-10-02 08:00:00,98.02797096208563
2024-10-02 09:00:00,104.7841795335265
2024-10-02 10:00:00,141.79040180015704
2024-10-02 11:00:00,132.32917188596736
2024-10-02 12:00:00,146.73975374815458
2024-10-02 13:00:00,159.88024212132783
2024-10-02 14:00:00,160.30230892759474
2024-10-02 15:00:00,152.58323658280085
2024-10-02 16:00:00,149.46674240674977
2024-10-02 17:00:00,151.83361837560884
2024-10-02 18:00:00,129.472989323702
2024-10-02 19:00:00,120.85600506993582
2024-10-02 20:00:00,106.99538064731021
2024-10-02 21:00:00,124.32878685926102
2024-10-02 22:00:00,92.62592289333415
2024-10-02 23:00:00,90.02627835751437
2024-10-03 00:00:00,68.27864636930435
2024-10-03 01:00:00,45.517512321962926
2024-10-03 02:00:00,71.98143920499598
2024-10-03 03:00:00,48.81445595503865
2024-10-03 04:00:00,65.73292911234178
2024-10-03 05:00:00,64.93376164182806
2024-10-03 06:00:00,72.10755015876232
2024-10-03 07:00:00,80.6096175037511
2024-10-03 08:00:00,102.01478153155574
2024-10-03 09:00:00,111.06275152375807
2024-10-03 10:00:00,147.00961581481337
2024-10-03 11:00:00,138.68354055358185
2024-10-03 12:00:00,148.40738938098116
2024-10-03 13:00:00,129.08257914581074
2024-10-03 14:00:00,153.16221347785782
2024-10-03 15:00:00,135.60468780605277
2024-10-03 16:00:00,146.38394617690344
2024-10-03 17:00:00,117.7675940512156
2024-10-03 18:00:00,118.86118722655712
2024-10-03 19:00:00,118.53340954472654
2024-10-03 20:00:00,105.3102436918114
2024-10-03 21:00:00,95.49940816218023
2024-10-03 22:00:00,92.43893831247269
2024-10-03 23:00:00,68.67421239526861
2024-10-04 00:00:00,78.82562657663537
2024-10-04 01:00:00,72.36361677482134
2024-10-04 02:00:00,65.87230211071959
2024-10-04 03:00:00,71.25079200994406
2024-10-04 04:00:00,77.20100431349849
2024-10-04 05:00:00,62.83435586919384
2024-10-04 06:00:00,84.81150166600798
2024-10-04 07:00:00,80.91099371973623
2024-10-04 08:00:00,112.96150857720855
2024-10-04 09:00:00,123.6910544805189
2024-10-04 10:00:00,120.99913110840338
2024-10-04 11:00:00,139.92959486506678
2024-10-04 12:00:00,147.83776638536557
2024-10-04 13:00:00,148.26846535859866
2024-10-04 14:00:00,159.52030897543833
2024-10-04 15:00:00,141.6144486398507
2024-10-04 16:00:00,134.31042974951842
2024-10-04 17:00:00,128.90371837128555
2024-10-04 18:00:00,123.10476617975496
2024-10-04 19:00:00,124.51660563221482
2024-10-04 20:00:00,109.24317825904797
2024-10-04 21:00:00,90.04839458145933
2024-10-04 22:00:00,79.31226689429617
2024-10-04 23:00:00,74.40283965058192
2024-10-05 00:00:00,81.43867760023866
2024-10-05 01:00:00,53.855686790663114
2024-10-05 02:00:00,59.8666811231074
2024-10-05 03:00:00,56.90447902445686
2024-10-05 04:00:00,60.633114241154146
2024-10-05 05:00:00,80.06716155581539
2024-10-05 06:00:00,84.10254993883078
2024-10-05 07:00:00,87.15921272040599
